"leaderSpeed","controllerID","controllerSpacing","attackValue","crashImpactAvg","crashImpactStd","averageMaxAccel","averageMaxSpacingError","maxSpacingError"
"50.0","1","20","9.0","-1.0","0.0","1.43839140471","18.4308978057","21.423435535181"
"150.0","2","20","3.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"100.0","1","20","3.0","-1.0","0.0","1.43839140493","18.430897788","21.423435535905"
"50.0","1","20","3.0","-1.0","0.0","1.43839140471","18.4308978057","21.423435535181"
"100.0","1","20","11.0","-1.0","0.0","1.43839140493","18.430897788","21.423435535905"
"150.0","3","20","7.0","6.18407709959","0.000573476761525","-1.0","-1.0","-1"
"150.0","1","20","11.0","-1.0","0.0","1.43839140515","18.4308977703","21.42343553661"
"150.0","1","5","3.0","-1.0","0.0","1.44234827202","5.2913561763","6.1830413249279"
"100.0","2","20","11.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"50.0","1","20","5.0","-1.0","0.0","1.43839140471","18.4308978057","21.423435535181"
"50.0","3","20","7.0","5.74141839223","0.00117606191115","-1.0","-1.0","-1"
"150.0","1","20","5.0","-1.0","0.0","1.43839140515","18.4308977703","21.42343553661"
"50.0","1","5","11.0","-1.0","0.0","1.44234827179","5.29135624266","6.1830415406085"
"150.0","1","5","9.0","-1.0","0.0","1.44234827202","5.2913561763","6.1830413249279"
"100.0","3","20","7.0","5.90820472061","0.00505960924266","-1.0","-1.0","-1"
"150.0","2","20","9.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"100.0","1","20","9.0","-1.0","0.0","1.43839140493","18.430897788","21.423435535905"
"50.0","2","20","7.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"100.0","2","20","7.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"150.0","2","20","7.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"50.0","3","20","11.0","8.78978931321","0.00137177873984","-1.0","-1.0","-1"
"100.0","3","20","11.0","8.98471498415","0.00591519329911","-1.0","-1.0","-1"
"150.0","3","20","3.0","2.80629531726","0.000732517639249","-1.0","-1.0","-1"
"50.0","2","20","3.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"100.0","1","5","11.0","-1.0","0.0","1.4423482719","5.29135620948","6.1830414327686"
"150.0","1","20","9.0","-1.0","0.0","1.43839140515","18.4308977703","21.42343553661"
"150.0","1","5","5.0","-1.0","0.0","1.44234827202","5.2913561763","6.1830413249279"
"100.0","2","20","9.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"50.0","1","5","5.0","-1.0","0.0","1.44234827179","5.29135624266","6.1830415406085"
"100.0","1","20","5.0","-1.0","0.0","1.43839140493","18.430897788","21.423435535905"
"150.0","1","20","3.0","-1.0","0.0","1.43839140515","18.4308977703","21.42343553661"
"150.0","1","5","11.0","-1.0","0.0","1.44234827202","5.2913561763","6.1830413249279"
"100.0","3","20","5.0","4.42161922678","0.00524244682291","-1.0","-1.0","-1"
"100.0","2","20","3.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"150.0","3","20","9.0","7.70483864086","0.00151309316425","-1.0","-1.0","-1"
"50.0","1","5","3.0","-1.0","0.0","1.44234827179","5.29135624266","6.1830415406085"
"100.0","1","5","7.0","-1.0","0.0","1.4423482719","5.29135620948","6.1830414327686"
"100.0","1","5","5.0","-1.0","0.0","1.4423482719","5.29135620948","6.1830414327686"
"150.0","2","20","11.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"50.0","1","20","11.0","-1.0","0.0","1.43839140471","18.4308978057","21.423435535181"
"100.0","2","20","5.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"50.0","1","5","9.0","-1.0","0.0","1.44234827179","5.29135624266","6.1830415406085"
"100.0","1","20","7.0","-1.0","0.0","1.43839140493","18.430897788","21.423435535905"
"100.0","3","20","9.0","7.46214937899","0.00389287264823","-1.0","-1.0","-1"
"150.0","3","20","5.0","4.51787442827","0.00124453178695","-1.0","-1.0","-1"
"50.0","2","20","11.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"50.0","2","20","9.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"100.0","1","5","9.0","-1.0","0.0","1.4423482719","5.29135620948","6.1830414327686"
"50.0","1","20","7.0","-1.0","0.0","1.43839140471","18.4308978057","21.423435535181"
"150.0","1","20","7.0","-1.0","0.0","1.43839140515","18.4308977703","21.42343553661"
"50.0","3","20","5.0","4.1909632752","0.00426013948516","-1.0","-1.0","-1"
"150.0","1","5","7.0","-1.0","0.0","1.44234827202","5.2913561763","6.1830413249279"
"50.0","1","5","7.0","-1.0","0.0","1.44234827179","5.29135624266","6.1830415406085"
"50.0","3","20","3.0","2.6627477775","0.000397318709186","-1.0","-1.0","-1"
"50.0","2","20","5.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"100.0","3","20","3.0","2.71526553972","0.00547652909264","-1.0","-1.0","-1"
"150.0","3","20","11.0","9.31757153297","0.00056057361265","-1.0","-1.0","-1"
"150.0","2","20","5.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"100.0","1","5","3.0","-1.0","0.0","1.4423482719","5.29135620948","6.1830414327686"
"50.0","3","20","9.0","7.09799036507","0.00461785399059","-1.0","-1.0","-1"
