"leaderSpeed","controllerID","controllerSpacing","attackValue","crashImpactAvg","crashImpactStd","averageMaxAccel","averageMaxSpacingError","maxSpacingError"
"100.0","2","20","50.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"50.0","1","5","-50.0","4.63460806374","0.0898500668806","-1.0","-1.0","-1"
"150.0","3","20","-50.0","-1.0","0.0","1.33819350819","43.5622044059","50.788176700016"
"150.0","1","5","150.0","-1.0","0.0","1.46359528067","5.35469477684","6.2518058183966"
"150.0","3","20","100.0","-1.0","0.0","1.33819350819","43.5622044059","50.788176700016"
"50.0","1","20","50.0","-1.0","0.0","1.45458107205","18.736436946","23.113862153325"
"50.0","1","5","0.0","2.81211436508","0.0771864009697","-1.0","-1.0","-1"
"50.0","2","20","100.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"50.0","1","5","50.0","-1.0","0.0","1.46359528054","5.35469483053","6.2518058438545"
"50.0","1","20","150.0","10.957062484","0.0668491271349","-1.0","-1.0","-1"
"50.0","2","20","0.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"50.0","2","20","-50.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"50.0","1","20","-50.0","2.1733974664","0.0178963471548","-1.0","-1.0","-1"
"150.0","1","5","50.0","4.63460806071","0.0898500667223","-1.0","-1.0","-1"
"100.0","1","20","-50.0","8.38176628964","0.126866399324","-1.0","-1.0","-1"
"50.0","1","5","150.0","3.67887937978","0.0326312187835","-1.0","-1.0","-1"
"100.0","2","20","0.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"100.0","1","20","100.0","-1.0","0.0","1.4545810722","18.7364369351","23.113862152234"
"100.0","2","20","-50.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"150.0","1","20","100.0","-1.0","0.0","1.54767673371","31.8719645955","128.80123765565"
"150.0","1","20","50.0","4.72473835692","0.0446163236159","-1.0","-1.0","-1"
"100.0","3","20","100.0","-1.0","0.0","1.33819352245","33.8399838635","39.677066641152"
"100.0","1","20","0.0","4.7247383582","0.0446163236662","-1.0","-1.0","-1"
"50.0","3","20","-50.0","-1.0","0.0","1.33819351263","24.1177613505","28.565955015401"
"100.0","1","20","50.0","-1.0","0.0","1.5476767336","31.8719646093","128.80123765649"
"150.0","3","20","0.0","-1.0","0.0","1.33819350819","43.5622044059","50.788176700016"
"100.0","1","20","150.0","7.57176590355","0.0284157734634","-1.0","-1.0","-1"
"100.0","1","5","-50.0","5.86267268465","0.181032713305","-1.0","-1.0","-1"
"100.0","2","20","150.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"100.0","3","20","-50.0","-1.0","0.0","1.33819352245","33.8399838635","39.677066641152"
"150.0","1","5","-50.0","5.79958670844","0.26781534353","-1.0","-1.0","-1"
"150.0","1","5","0.0","5.86267268315","0.181032713356","-1.0","-1.0","-1"
"50.0","2","20","150.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"150.0","1","5","100.0","2.81211436212","0.0771864008252","-1.0","-1.0","-1"
"100.0","1","5","100.0","-1.0","0.0","1.4635952806","5.35469480369","6.2518058311235"
"50.0","2","20","50.0","-1.0","0.0","1.04380717621","9.37554732004","10.9183434592323"
"50.0","1","20","0.0","-1.0","0.0","1.54767673349","31.8719646231","128.80123765730002"
"150.0","2","20","-50.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"50.0","1","20","100.0","7.57176590381","0.0284157734307","-1.0","-1.0","-1"
"150.0","2","20","50.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"100.0","1","5","150.0","3.69733462683","0.0200951630744","-1.0","-1.0","-1"
"50.0","3","20","50.0","-1.0","0.0","1.33819351263","24.1177613505","28.565955015401"
"150.0","2","20","150.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"100.0","3","20","50.0","-1.0","0.0","1.33819352245","33.8399838635","39.677066641152"
"50.0","3","20","150.0","-1.0","0.0","1.33819351263","24.1177613505","28.565955015401"
"100.0","2","20","100.0","-1.0","0.0","1.04380717621","15.4519361255","17.862788430847"
"100.0","1","5","0.0","4.63460806223","0.0898500668021","-1.0","-1.0","-1"
"150.0","1","20","150.0","-1.0","0.0","1.45458107235","18.7364369242","23.11386215112"
"100.0","3","20","0.0","-1.0","0.0","1.33819352245","33.8399838635","39.677066641152"
"150.0","1","20","0.0","8.38176628813","0.126866399129","-1.0","-1.0","-1"
"100.0","1","5","50.0","2.8121143636","0.077186400897","-1.0","-1.0","-1"
"150.0","3","20","150.0","-1.0","0.0","1.33819350819","43.5622044059","50.788176700016"
"100.0","3","20","150.0","-1.0","0.0","1.33819352245","33.8399838635","39.677066641152"
"150.0","3","20","50.0","-1.0","0.0","1.33819350819","43.5622044059","50.788176700016"
"50.0","3","20","0.0","-1.0","0.0","1.33819351263","24.1177613505","28.565955015401"
"150.0","2","20","0.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"50.0","3","20","100.0","-1.0","0.0","1.33819351263","24.1177613505","28.565955015401"
"150.0","2","20","100.0","-1.0","0.0","1.03844271265","21.5283250446","24.807231956369"
"150.0","1","20","-50.0","10.2220734922","0.169988296293","-1.0","-1.0","-1"
"50.0","1","5","100.0","3.69733462842","0.0200951630664","-1.0","-1.0","-1"
